"","x"
"1","DELL"
"2","HPQ"
"3","MMM"
"4","AME"
"5","ARNC"
"6","CR"
"7","CMI"
"8","DCI"
"9","DOV"
"10","FLS"
"11","GNRC"
"12","HON"
"13","IEX"
"14","IR"
"15","ITT"
"16","LII"
"17","LXFR"
"18","PH"
"19","ROK"
"20","ROP"
"21","XYL"
"22","DDE"
"23","WUBA"
"24","CRCM"
"25","AMT"
"26","BCE"
"27","BT"
"28","CABO"
"29","CEL"
"30","CHL"
"31","CHA"
"32","CHT"
"33","IDT"
"34","I"
"35","KT"
"36","RCI"
"37","SKM"
"38","S"
"39","VIV"
"40","TDS"
"41","USM"
"42","VZ"
"43","AHC"
"44","MDP"
"45","NYT"
"46","PSO"
"47","GCI"
"48","EVTC"
"49","FICO"
"50","ORCL"
"51","SAIL"
"52","RUBI"
"53","VMW"
"54","CYH"
"55","EHC"
"56","HNGR"
"57","HCA"
"58","USPH"
"59","UHS"
"60","AJRD"
"61","BA"
"62","DCO"
"63","AAN"
"64","ABT"
"65","BSX"
"66","CRY"
"67","EW"
"68","INSP"
"69","ITGR"
"70","MDT"
"71","SNN"
"72","ZBH"
"73","AZN"
"74","LLY"
"75","MRK"
"76","NVS"
"77","PFE"
"78","BOOT"
"79","DSW"
"80","GCO"
"81","GES"
"82","TLYS"
"83","TJX"
"84","ADX"
"85","AKP"
"86","AWF"
"87","AB"
"88","ARES"
"89","MCI"
"90","MPV"
"91","BGIO"
"92","BHK"
"93","BTZ"
"94","EGF"
"95","BFO"
"96","BME"
"97","BAF"
"98","BKT"
"99","BTA"
"100","BZM"
"101","MUI"
"102","MNE"
"103","MUA"
"104","BKK"
"105","BBF"
"106","BYM"
"107","BFK"
"108","MUH"
"109","MFL"
"110","MUJ"
"111","MHN"
"112","MUE"
"113","MYC"
"114","MYD"
"115","MYF"
"116","MFT"
"117","MIY"
"118","MYN"
"119","BNY"
"120","BQH"
"121","BSE"
"122","BFY"
"123","BUI"
"124","BHV"
"125","BAM"
"126","UTF"
"127","CXE"
"128","CMU"
"129","DDF"
"130","DMB"
"131","LEO"
"132","DNP"
"133","ECCA"
"134","ECCB"
"135","EHT"
"136","ETX"
"137","EOT"
"138","EVF"
"139","EVG"
"140","EXD"
"141","FII"
"142","FMY"
"143","FSD"
"144","FGB"
"145","PFO"
"146","FT"
"147","GUT"
"148","GBAB"
"149","PCF"
"150","INSI"
"151","VBF"
"152","VCV"
"153","IHIT"
"154","VLT"
"155","OIA"
"156","VPV"
"157","VVR"
"158","VTN"
"159","IIM"
"160","JHS"
"161","PDT"
"162","HTD"
"163","MFD"
"164","MAIN"
"165","MMD"
"166","MCC"
"167","MDLY"
"168","MFAC"
"169","MSB"
"170","MCR"
"171","MGF"
"172","MIN"
"173","MMT"
"174","MFM"
"175","MSD"
"176","MVF"
"177","MVC"
"178","HYB"
"179","NMFC"
"180","NHF"
"181","NUV"
"182","NUW"
"183","NCB"
"184","NCA"
"185","NTC"
"186","JCO"
"187","JQC"
"188","NEV"
"189","NKG"
"190","JHY"
"191","NXC"
"192","NXN"
"193","NID"
"194","NMY"
"195","NMT"
"196","NUM"
"197","JLS"
"198","NHA"
"199","NJV"
"200","NXJ"
"201","NYV"
"202","NNY"
"203","NAN"
"204","NNC"
"205","NUO"
"206","NQP"
"207","NIM"
"208","NXP"
"209","NXQ"
"210","NXR"
"211","NTX"
"212","NIQ"
"213","JMT"
"214","OAK"
"215","GHY"
"216","ISD"
"217","PCK"
"218","PCI"
"219","PDI"
"220","PHK"
"221","PMF"
"222","PML"
"223","PMX"
"224","PNI"
"225","PYN"
"226","RCS"
"227","MAV"
"228","PMM"
"229","PIM"
"230","PMO"
"231","PZN"
"232","KSM"
"233","SCM"
"234","TSI"
"235","THQ"
"236","THW"
"237","GIM"
"238","GRX"
"239","GDL"
"240","TSLX"
"241","TPVG"
"242","BIF"
"243","IHD"
"244","WDR"
"245","WEA"
"246","EHI"
"247","HIX"
"248","HIO"
"249","HYI"
"250","SBI"
"251","PAI"
"252","MMU"
"253","DMO"
"254","MHF"
"255","MNP"
"256","ABM"
"257","AXR"
"258","ARC"
"259","BAH"
"260","FIS"
"261","FCN"
"262","G"
"263","GPN"
"264","IRM"
"265","MMS"
"266","NCI"
"267","RBA"
"268","ROL"
"269","SERV"
"270","SRT"
"271","WP"
"272","AKR"
"273","ADC"
"274","AAT"
"275","EPR"
"276","FRT"
"277","GTY"
"278","KIM"
"279","KREF"
"280","NNN"
"281","O"
"282","RPT"
"283","SPG"
"284","WSR"
"285","EPAM"
"286","IT"
"287","GLOB"
"288","INFY"
"289","LDOS"
"290","RAMP"
"291","UIS"
"292","WIT"
"293","XRX"
"294","EBF"
"295","HNI"
"296","SCS"
"297","ATV"
"298","AAP"
"299","AZO"
"300","BNED"
"301","BKS"
"302","BJ"
"303","DKS"
"304","GME"
"305","GPC"
"306","HUD"
"307","HZO"
"308","MUSA"
"309","SBH"
"310","VSI"
"311","AYI"
"312","APH"
"313","AUO"
"314","GLW"
"315","ENS"
"316","HUBB"
"317","NVT"
"318","ROG"
"319","GOLF"
"320","ELY"
"321","CCL"
"322","CUK"
"323","DVD"
"324","NCLH"
"325","PLNT"
"326","RCL"
"327","SEAS"
"328","ADM"
"329","LND"
"330","ALSN"
"331","MLR"
"332","SMP"
"333","WBC"
"334","ALLE"
"335","BRC"
"336","BPI"
"337","DL"
"338","ADSW"
"339","CLH"
"340","DAR"
"341","RSG"
"342","WCN"
"343","WM"
"344","CTB"
"345","APD"
"346","ASH"
"347","BAK"
"348","FF"
"349","LXU"
"350","REX"
"351","SQM"
"352","VSM"
"353","WLKP"
"354","AMRC"
"355","AGX"
"356","FIX"
"357","EMP"
"358","PBC"
"359","AEG"
"360","AIZP"
"361","ATH"
"362","GNW"
"363","KMPR"
"364","ORI"
"365","CALX"
"366","CIEN"
"367","HRS"
"368","HPE"
"369","JNPR"
"370","MSI"
"371","NOK"
"372","VCRA"
"373","AFL"
"374","IHC"
"375","MET"
"376","PRI"
"377","NLY"
"378","ARI"
"379","ABR"
"380","ACRE"
"381","BXMT"
"382","CIM"
"383","CLPR"
"384","CCI"
"385","EPRT"
"386","XAN"
"387","AJX"
"388","HASI"
"389","IVR"
"390","JBGS"
"391","LADR"
"392","PMT"
"393","PSB"
"394","STWD"
"395","STOR"
"396","VER"
"397","VICI"
"398","WPC"
"399","DE"
"400","A"
"401","CRL"
"402","AU"
"403","GOLD"
"404","HMY"
"405","KL"
"406","SA"
"407","SBGL"
"408","GGB"
"409","SID"
"410","NUE"
"411","AZUL"
"412","GOL"
"413","SAVE"
"414","AIN"
"415","ALB"
"416","ECL"
"417","NGVT"
"418","IFF"
"419","LIN"
"420","NEU"
"421","PPG"
"422","KWR"
"423","RPM"
"424","SHW"
"425","SCL"
"426","ACH"
"427","ARE"
"428","BXP"
"429","DLR"
"430","EQC"
"431","LPT"
"432","CLI"
"433","NRE"
"434","TIER"
"435","AQN"
"436","NRG"
"437","ORA"
"438","TAC"
"439","DYNC"
"440","VST"
"441","Y"
"442","ARGO"
"443","ATI"
"444","BRSS"
"445","GHM"
"446","CGC"
"447","RDY"
"448","AEE"
"449","AEP"
"450","EBR"
"451","CMS"
"452","CPL"
"453","DTE"
"454","DUK"
"455","EVRG"
"456","ES"
"457","FTS"
"458","HE"
"459","IDA"
"460","KEN"
"461","NEE"
"462","OGE"
"463","PNW"
"464","PNM"
"465","POR"
"466","PPL"
"467","WEC"
"468","AXP"
"469","BBDC"
"470","DFS"
"471","GSBD"
"472","GDOT"
"473","MA"
"474","ONDK"
"475","IX"
"476","PPDF"
"477","TSS"
"478","V"
"479","WU"
"480","EFC"
"481","ESNT"
"482","HTGC"
"483","PFSI"
"484","SC"
"485","AYX"
"486","CDAY"
"487","HUBS"
"488","LXFT"
"489","MFGP"
"490","PAR"
"491","PAYC"
"492","RHT"
"493","RNG"
"494","RST"
"495","SMAR"
"496","SQ"
"497","DATA"
"498","TWLO"
"499","WK"
"500","ZEN"
"501","PM"
"502","PYX"
"503","TPB"
"504","CCU"
"505","CNK"
"506","DLB"
"507","LYV"
"508","MCS"
"509","MSGN"
"510","DIS"
"511","WWE"
"512","AIV"
"513","AVB"
"514","CPT"
"515","CHMI"
"516","EARN"
"517","ELS"
"518","EQR"
"519","ESS"
"520","NXRT"
"521","SUI"
"522","UDR"
"523","BPL"
"524","CEQP"
"525","DKL"
"526","MLP"
"527","SAFE"
"528","XIN"
"529","AWR"
"530","CWT"
"531","SBS"
"532","CF"
"533","UAN"
"534","ICL"
"535","MOS"
"536","NTR"
"537","COLD"
"538","EGP"
"539","IIPR"
"540","JCAP"
"541","REXR"
"542","ATO"
"543","CNP"
"544","NWN"
"545","OGS"
"546","SWX"
"547","SR"
"548","TGS"
"549","UGI"
"550","ABC"
"551","CAH"
"552","FLO"
"553","GIS"
"554","HRL"
"555","SJM"
"556","LW"
"557","MKC"
"558","NOMD"
"559","POST"
"560","THS"
"561","BSM"
"562","COG"
"563","CHKR"
"564","CEO"
"565","CXO"
"566","COP"
"567","CRT"
"568","AXE"
"569","MSM"
"570","GWW"
"571","WCC"
"572","ANTM"
"573","CI"
"574","MOH"
"575","AON"
"576","AJG"
"577","APY"
"578","WHD"
"579","CELP"
"580","APLE"
"581","BHR"
"582","CLDT"
"583","CHSP"
"584","BLL"
"585","BMS"
"586","IPHI"
"587","MXL"
"588","NPTN"
"589","TSM"
"590","ARCO"
"591","CMG"
"592","DRI"
"593","DIN"
"594","MCD"
"595","YUM"
"596","ARCH"
"597","CCR"
"598","NC"
"599","NRP"
"600","EBS"
"601","DHT"
"602","LPG"
"603","AFI"
"604","AWI"
"605","CPAC"
"606","CBPX"
"607","LOMA"
"608","MDU"
"609","TREX"
"610","USG"
"611","ARW"
"612","ABG"
"613","BBT"
"614","CBU"
"615","FBP"
"616","FRC"
"617","MTB"
"618","OFG"
"619","PNC"
"620","PB"
"621","USB"
"622","AC"
"623","FDS"
"624","OPY"
"625","TRI"
"626","AGO"
"627","EIG"
"628","MTG"
"629","RDN"
"630","BDX"
"631","CIG"
"632","ELP"
"633","CZZ"
"634","EXC"
"635","FE"
"636","NWE"
"637","AES"
"638","AVP"
"639","CHD"
"640","CLX"
"641","BAC"
"642","BMO"
"643","BNS"
"644","CM"
"645","JPM"
"646","MUFG"
"647","RY"
"648","SMFG"
"649","TD"
"650","BBD"
"651","BBDO"
"652","BSBR"
"653","ITUB"
"654","HF"
"655","LEJU"
"656","DHI"
"657","MDC"
"658","MHO"
"659","PHM"
"660","TOL"
"661","BEL"
"662","KNX"
"663","SNDR"
"664","BHP"
"665","BBL"
"666","BVN"
"667","CCJ"
"668","CLF"
"669","BURL"
"670","DG"
"671","WMT"
"672","RGA"
"673","RNR"
"674","ECT"
"675","EC"
"676","CAPL"
"677","CVI"
"678","BFAM"
"679","HRB"
"680","RGS"
"681","SCI"
"682","BKD"
"683","CIC"
"684","FPAC"
"685","GIG"
"686","GSAH"
"687","LGC"
"688","LHC"
"689","MOSC"
"690","OMAD"
"691","RWGE"
"692","IPOA"
"693","TPGH"
"694","DECK"
"695","HOG"
"696","MPX"
"697","GIL"
"698","OXM"
"699","RL"
"700","UAA"
"701","VFC"
"702","CP"
"703","NSC"
"704","UNP"
"705","USDP"
"706","DEO"
"707","CCO"
"708","CLW"
"709","KO"
"710","CCEP"
"711","KDP"
"712","CHCT"
"713","HCP"
"714","LTC"
"715","MPW"
"716","OHI"
"717","DOC"
"718","WELL"
"719","CBD"
"720","KSS"
"721","JWN"
"722","FN"
"723","SNE"
"724","GATX"
"725","HTZ"
"726","TRTN"
"727","MNK"
"728","TAK"
"729","ZTS"
"730","HEI"
"731","NPK"
"732","TDG"
"733","JEC"
"734","JCI"
"735","KBR"
"736","PWR"
"737","STN"
"738","TPC"
"739","HSC"
"740","MTRN"
"741","NEXA"
"742","RIO"
"743","VALE"
"744","VEDL"
"745","GEL"
"746","GLP"
"747","HESM"
"748","HEP"
"749","MPLX"
"750","NS"
"751","OMP"
"752","PBFX"
"753","SGU"
"754","TGE"
"755","TCP"
"756","EOG"
"757","GNE"
"758","GPRK"
"759","HES"
"760","JAG"
"761","MGY"
"762","MUR"
"763","NFG"
"764","OXY"
"765","ROYT"
"766","PARR"
"767","RRC"
"768","SJT"
"769","PER"
"770","SBOW"
"771","SWN"
"772","VOC"
"773","WPM"
"774","KMB"
"775","PG"
"776","REV"
"777","XOM"
"778","PTR"
"779","PBR"
"780","YPF"
"781","PACD"
"782","GTN"
"783","TGNA"
"784","TRCO"
"785","EVA"
"786","NVTA"
"787","IQV"
"788","PKI"
"789","TMO"
"790","ASR"
"791","ESE"
"792","HMI"
"793","KEYS"
"794","TDY"
"795","LZB"
"796","TPX"
"797","UPS"
"798","VEEV"
"799","FSS"
"800","FI"
"801","HLX"
"802","LBRT"
"803","NINE"
"804","NRT"
"805","DNOW"
"806","PUMP"
"807","RES"
"808","SOI"
"809","USAC"
"810","GDDY"
"811","INXN"
"812","JT"
"813","SSTK"
"814","YELP"
"815","GM"
"816","HMC"
"817","NIO"
"818","TM"
"819","SUN"
"820","UGP"
"821","INT"
"822","HVT"
"823","HD"
"824","LOW"
"825","WWW"
"826","FCPT"
"827","MGP"
"828","PK"
"829","FC"
"830","GHC"
"831","LRN"
"832","UTI"
"833","HBM"
"834","FRO"
"835","GLOG"
"836","HMLP"
"837","KEX"
"838","KNOP"
"839","MATX"
"840","NVGS"
"841","NAT"
"842","SSW"
"843","SFL"
"844","TGP"
"845","TNK"
"846","TNP"
"847","RFP"
"848","VRS"
"849","GKOS"
"850","GNC"
"851","OI"
"852","SON"
"853","HCI"
"854","MCY"
"855","PRA"
"856","PGR"
"857","UVE"
"858","WRB"
"859","IBN"
"860","HSY"
"861","MGM"
"862","HY"
"863","OSK"
"864","NSP"
"865","IPG"
"866","OMC"
"867","VSLR"
"868","KMT"
"869","NGVC"
"870","LNN"
"871","MSA"
"872","PFGC"
"873","SYY"
"874","CJJD"
"875","WBA"
"876","ANAT"
"877","AMSF"
"878","AFH"
"879","CINF"
"880","EMCI"
"881","HALL"
"882","KNSL"
"883","NMIH"
"884","SIGI"
"885","STFC"
"886","NAVG"
"887","ABDC"
"888","ARCC"
"889","BKCC"
"890","CSWC"
"891","CPTA"
"892","FDUS"
"893","GLAD"
"894","GLADN"
"895","GAINL"
"896","GAINM"
"897","GBDC"
"898","GEC"
"899","HCAP"
"900","HRZN"
"901","KCAP"
"902","OCSI"
"903","OFS"
"904","OCCI"
"905","OXLC"
"906","OXLCM"
"907","OXLCO"
"908","PNNT"
"909","PSEC"
"910","SLRC"
"911","SUNS"
"912","TZACU"
"913","VCTR"
"914","FLWS"
"915","AMZN"
"916","ETSY"
"917","FIVE"
"918","LQDT"
"919","MELI"
"920","ODP"
"921","ORLY"
"922","QRTEA"
"923","QRTEB"
"924","RMBL"
"925","SECO"
"926","TSCO"
"927","TA"
"928","ULTA"
"929","WINA"
"930","ZUMZ"
"931","ACNB"
"932","AMAL"
"933","ASRV"
"934","AROW"
"935","BCTF"
"936","BFC"
"937","BMRC"
"938","BKSC"
"939","BANR"
"940","BCML"
"941","BHBK"
"942","BFST"
"943","CBNK"
"944","CCBG"
"945","CART"
"946","CARE"
"947","CBMB"
"948","CBTX"
"949","CFBK"
"950","CNBKA"
"951","CZNC"
"952","CIZN"
"953","CHCO"
"954","CIVBP"
"955","CBAN"
"956","CLBK"
"957","CBSH"
"958","CBSHP"
"959","CFBI"
"960","CVBF"
"961","DNBF"
"962","ESBK"
"963","FBSS"
"964","FFBW"
"965","FDBC"
"966","LION"
"967","FITBI"
"968","FNLC"
"969","FCNCA"
"970","FCBC"
"971","FFIN"
"972","THFF"
"973","FIBK"
"974","FNCB"
"975","FSBC"
"976","FULT"
"977","FVCB"
"978","GBCI"
"979","GLBZ"
"980","GFED"
"981","HBK"
"982","HWBK"
"983","HMTA"
"984","HTBI"
"985","HBAN"
"986","HBANO"
"987","HVBC"
"988","IBKC"
"989","IBKCO"
"990","IBKCP"
"991","INDB"
"992","LTXB"
"993","LEVL"
"994","MBTF"
"995","MGYR"
"996","MELR"
"997","MRBK"
"998","MVBF"
"999","NBTB"
"1000","NCBS"
"1001","NWFL"
"1002","ONB"
"1003","OSBC"
"1004","ORIT"
"1005","OTTW"
"1006","PCSB"
"1007","PFIS"
"1008","PBCTP"
"1009","BPOP"
"1010","RBCAA"
"1011","RIVE"
"1012","SBFGP"
"1013","SVBI"
"1014","BSRR"
"1015","SBSI"
"1016","STXB"
"1017","STND"
"1018","TCBIP"
"1019","TFSL"
"1020","FBMS"
"1021","TCBK"
"1022","TSCAP"
"1023","TRMK"
"1024","UBOH"
"1025","VBFC"
"1026","WCFB"
"1027","WEBK"
"1028","WABC"
"1029","WTFCM"
"1030","CDW"
"1031","CSPI"
"1032","FORTY"
"1033","INOD"
"1034","PSDO"
"1035","SGLB"
"1036","BAND"
"1037","CTXS"
"1038","COUP"
"1039","CYBR"
"1040","EVOP"
"1041","FIVN"
"1042","IIIV"
"1043","LPSN"
"1044","MSFT"
"1045","MNDO"
"1046","OKTA"
"1047","PYDS"
"1048","SPNS"
"1049","ULTI"
"1050","ZS"
"1051","ASFI"
